학번,국어,영어,수학,역사,도덕,과학,음악,미술,한국사,한국지리,물리학,생물학,화학,지구과학,세계사,세계지리,한문,기술,가정,정보
S0027,100,93,51,75,54,68,89,72,50,65,67,68,89,91,63,98,64,84,70,54
S0028,98,93,52,93,61,68,64,58,86,58,51,67,74,64,68,93,99,98,64,78
S0029,51,68,60,50,79,99,75,85,81,70,77,53,52,100,73,60,84,62,57,62
S0030,71,75,90,62,87,83,82,87,53,56,77,93,80,87,56,58,65,76,78,91
S0031,50,71,94,87,96,61,92,74,50,80,56,79,81,77,98,54,59,51,89,87
S0032,55,93,80,91,61,79,92,63,71,83,68,97,94,72,90,98,52,55,96,57
S0033,62,78,84,95,91,81,61,69,92,77,100,86,73,81,90,67,91,89,53,76
S0034,77,94,65,73,93,98,90,81,77,60,81,99,71,78,75,72,85,65,88,55
S0035,73,82,100,73,58,82,65,93,83,52,98,68,66,56,85,64,51,66,82,93
S0036,54,78,52,87,63,60,100,84,78,74,72,63,98,91,87,60,76,91,96,69
S0037,91,72,63,83,97,81,57,98,97,95,66,73,68,98,52,54,78,93,86,84
S0038,87,70,65,55,59,94,73,87,65,66,54,57,63,60,83,59,56,86,87,55
S0039,62,66,73,54,90,71,79,69,84,68,100,96,83,69,66,72,64,77,100,92
S0040,55,93,71,57,100,66,68,100,87,93,75,63,80,58,90,87,80,84,77,73
S0041,78,68,85,59,70,67,84,52,93,77,68,60,75,90,57,74,79,63,87,57
S0042,59,56,71,89,99,67,97,93,73,76,54,72,53,91,82,57,86,74,82,55
S0043,89,57,69,53,73,86,98,64,95,61,90,80,71,75,82,89,64,67,95,82
S0044,54,94,65,53,94,61,64,98,59,58,59,61,95,80,96,94,85,81,100,61
S0045,77,59,72,58,63,83,78,76,66,78,80,71,78,63,92,76,58,78,71,68
S0046,63,98,85,84,86,57,87,54,90,60,58,50,94,60,97,78,80,53,72,99
S0047,50,52,57,75,52,93,63,100,77,62,62,70,84,94,65,65,75,60,52,84
S0048,92,92,90,83,76,64,99,67,59,64,84,66,87,94,86,96,96,70,66,57
S0049,50,54,82,75,58,65,96,51,97,96,51,66,94,53,50,64,73,65,55,61
S0050,71,67,96,62,83,81,76,58,70,62,69,93,78,51,83,54,71,62,77,55
S0051,84,84,58,61,90,56,87,85,54,50,76,81,82,79,99,92,90,96,66,81
S0052,72,98,61,68,72,72,54,91,64,63,75,78,55,99,98,67,78,83,79,88
S0053,86,83,73,79,75,64,65,80,78,80,96,57,90,53,70,92,57,83,81,67
S0054,79,62,55,79,59,54,93,59,76,64,77,70,53,62,90,52,100,59,61,93
S0055,88,98,88,66,79,81,64,58,66,88,83,52,79,76,84,84,51,87,52,64
S0056,63,55,54,75,63,50,69,99,55,65,71,62,66,93,52,91,69,92,95,93
S0057,55,64,100,50,55,98,100,95,90,58,55,95,84,74,50,57,84,60,78,92
S0058,88,64,53,97,97,60,60,87,100,96,86,97,54,56,99,55,65,51,76,78
S0059,95,98,71,61,94,92,56,59,86,53,60,71,75,80,82,72,77,62,79,56
S0060,53,59,54,86,93,85,60,84,68,98,54,97,98,99,70,92,63,99,100,71
S0061,55,72,81,84,73,79,50,87,79,66,83,82,50,86,57,66,82,96,65,54
S0062,84,89,65,88,69,88,79,63,69,50,62,84,82,56,78,85,90,73,98,63
S0063,85,89,94,75,57,81,61,60,61,90,85,97,82,86,83,87,75,83,57,66
S0064,84,93,81,69,100,74,78,58,59,100,99,98,87,75,65,59,58,94,70,60
S0065,87,72,73,92,83,56,66,65,94,72,83,94,95,53,51,51,80,95,60,98
S0066,78,72,93,58,96,87,98,84,90,93,68,99,86,62,82,57,95,70,83,64
S0067,63,81,89,59,50,58,88,99,63,89,93,83,75,99,73,98,72,81,70,68
S0068,100,57,87,91,96,86,83,100,88,89,52,99,52,83,93,98,100,91,84,77
S0069,72,75,83,81,88,80,56,73,82,67,71,66,84,85,90,78,93,82,79,99
S0070,76,68,73,76,86,73,72,74,83,96,58,87,71,85,51,52,60,69,74,87
S0071,62,68,78,94,81,78,85,83,65,77,66,81,80,81,92,80,93,51,81,74
S0072,66,60,51,93,79,75,87,67,56,70,83,81,95,52,83,99,100,75,73,72
S0073,58,89,78,61,78,73,58,55,95,57,90,91,82,74,86,81,81,93,95,79
S0074,76,92,54,92,55,94,50,100,100,75,87,100,94,87,96,99,71,57,63,94
S0075,71,95,69,62,60,65,52,73,75,97,66,87,94,54,80,74,87,92,83,94
S0076,84,53,73,51,81,76,79,83,74,79,52,88,77,89,52,62,54,71,71,78
S0077,55,69,96,82,81,55,87,88,73,87,67,59,58,58,70,71,63,99,91,65
S0078,66,71,75,88,98,70,95,82,95,59,57,66,51,91,89,76,69,83,50,63
S0079,86,66,72,85,89,81,96,51,63,90,51,64,89,64,50,60,98,51,99,59
S0080,84,61,94,72,58,69,80,51,87,93,52,58,65,54,99,84,63,62,83,97
S0081,81,66,56,83,96,50,99,92,54,95,75,84,58,96,67,95,60,68,82,58
S0082,65,82,57,96,80,70,94,65,77,80,90,57,96,97,67,72,99,56,62,78
S0083,67,75,91,90,98,86,100,91,83,89,93,90,62,65,91,97,100,66,59,71
S0084,63,64,78,64,71,100,97,70,87,67,84,81,96,79,59,70,77,70,50,84
S0085,89,90,94,65,75,95,58,70,60,92,82,58,52,82,69,97,57,68,74,91
S0086,73,63,95,55,54,73,87,92,53,94,93,54,69,77,88,90,75,83,82,100
S0087,63,66,65,67,79,84,83,96,72,54,99,87,83,52,55,71,64,51,81,53
S0088,72,67,84,71,92,67,91,83,62,84,85,53,93,78,83,85,90,80,51,99
S0089,89,56,93,71,92,65,98,69,98,66,60,91,61,93,97,66,68,51,99,98
S0090,94,55,96,65,96,84,74,57,91,82,98,90,80,75,53,64,66,70,98,94
S0091,94,78,57,57,62,75,77,75,75,76,76,85,56,96,92,71,62,100,82,72
S0092,82,76,88,84,51,71,94,100,64,89,70,82,78,84,68,94,50,87,57,97
S0093,57,88,71,87,79,70,79,83,66,55,56,100,77,81,88,83,51,79,50,80
S0094,99,97,71,65,79,63,93,89,50,53,100,76,85,50,57,83,77,71,73,70
S0095,78,64,68,83,69,55,95,83,55,93,51,92,80,50,100,93,71,76,56,69
S0096,100,89,56,68,78,61,79,61,58,51,98,92,71,58,92,91,66,88,62,90
S0097,54,83,55,81,58,69,78,50,97,56,99,73,76,55,67,76,72,75,83,85
S0098,53,55,58,99,51,61,81,90,57,80,88,80,98,59,93,98,92,95,71,78
S0099,83,87,56,65,55,89,77,87,67,60,79,98,66,52,54,79,85,70,54,55
S0100,81,53,52,83,78,100,85,86,85,92,96,52,73,90,89,73,76,54,63,68
,,,,,,,,,,,,,,,,,,,,
